kernel,shape_tag,M,N,K,dtype,BM,BN,BK,stages,warps,group_m,flatten,ws,num_sms,ms,tflops
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,8,8,0,0,0,0.015029450540768576,142.88504041946047
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,8,8,1,132,0,0.0031107047905347177,690.3527633140836
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,8,8,0,0,0,0.01509639599572609,142.25141209915066
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,3,8,8,1,132,1,0.6503803088114812,3.301889093051352
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,4,8,0,0,0,0.019011164902822,112.95907741462119
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,4,8,1,132,0,0.0030991698544964477,692.9222175042493
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,4,8,0,0,0,0.019040659838116047,112.78409814880028
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,4,8,1,132,1,0.5348970691363016,4.014760543495858
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,8,8,0,0,0,0.020587272730401972,104.31122548975286
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,8,8,1,132,0,0.0031107047927521523,690.3527628219726
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,8,8,0,0,0,0.020618441936216855,104.15353665632156
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,4,8,8,1,132,1,0.6622670751351577,3.2426248089741354
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,5,4,8,0,0,0,0.019317932657144044,111.16529320780245
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,5,4,8,1,132,0,0.003106769268365147,691.227272609805
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,5,4,8,0,0,0,0.019555000006221235,109.81762451121445
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,5,8,8,0,0,0,0.02113544816772143,101.60577769435184
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,5,8,8,1,132,0,0.0031070769652545164,691.1588196928005
ws,"n,n,n//8",2048,2048,256,bf16,128,128,64,5,8,8,0,0,0,0.02087073684915116,102.89448156629607
persistent,"n,n,n//8",2048,2048,256,bf16,128,128,64,5,8,8,1,132,1,0.6942586700121561,3.0932039321344
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,4,8,0,0,0,0.01602545457849787,134.00453868443662
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,4,8,1,132,0,0.0030965437452552965,693.5098692826474
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,4,8,0,0,0,0.016056960048153997,133.74160747487736
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,4,8,1,132,1,0.7278319994608561,2.950521067486392
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,8,8,0,0,0,0.016323164852520267,131.56049500219513
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,8,8,1,132,0,0.0031013084536366097,692.4443924569482
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,8,8,0,0,0,0.016291200015693903,131.81862882606873
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,2,8,8,1,132,1,0.9381973346074423,2.288946652037275
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,4,8,0,0,0,0.01951004442655378,110.07066929469457
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,4,8,1,132,0,0.0030969541729214266,693.4179610330592
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,4,8,0,0,0,0.019746969079541175,108.75003851729824
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,4,8,1,132,1,0.6323052369631253,3.3962768651325224
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,8,8,0,0,0,0.020080000056292523,106.94639651293414
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,8,8,1,132,0,0.00310095242180285,692.5238945625239
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,8,8,0,0,0,0.020091621165997102,106.8845380996126
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,3,8,8,1,132,1,0.6987706571817398,3.073231003518614
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,4,8,0,0,0,0.019494252964511686,110.15983284455099
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,4,8,1,132,0,0.0030966667206181833,693.4823284991097
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,4,8,0,0,0,0.019429608315383037,110.52634788832924
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,4,8,1,132,1,0.5864457190036774,3.6618626045193006
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,8,8,0,0,0,0.019773818234997718,108.60237625726552
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,8,8,1,132,0,0.0030870400578714907,695.6448921108871
ws,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,8,8,0,0,0,0.020048000015473615,107.11710127406779
persistent,"n,n,n//8",2048,2048,256,bf16,256,64,64,4,8,8,1,132,1,0.7240773290395737,2.96582086176963
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,4,8,0,0,0,0.029764399980194867,72.14940161498059
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,4,8,1,132,0,0.003117886824392766,688.7625398071465
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,4,8,0,0,0,0.029921454525637357,71.77069704816618
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,4,8,1,132,1,0.5526890635490418,3.8855186209224626
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,8,8,0,0,0,0.018024269679791472,119.14400339935686
